StudentID,NoPaymentDue,Service,Disabled,Unemployed,School,Units,Country,Region,Marital_Status,Gender,Longest_Absence_From_School,Filed_For_Bankruptcy,LongTermPlanningScore,DecisionStyle,PowerOrientedScore,CommunityOrientedScore,Family_Income,Parent_Education_Level,Credit_Score_Raw,Credit_Score_AgeAdj,Loan_Amount,HS_Math,HS_Science,HS_English
1000,pos,air_force,,Unemployed,ucsd,5.0,USA,1,1,,7,,0.8432894426975494,Emotional,0.8081106478775791,0.569836503352235,54206.48,Bachelor's,0.6399118657247527,0.8081106478775791,16823.0,10.0,10.0,9.0
1000,pos,air_force,,Unemployed,occ,9.0,USA,1,1,,7,,0.8432894426975494,Emotional,0.8081106478775791,0.569836503352235,54206.48,Bachelor's,0.6399118657247527,0.8081106478775791,16823.0,10.0,10.0,9.0
999,pos,fire_department,,,smc,4.0,USA,2,1,,4,Filed_For_Bankruptcy,0.6626244153190847,Analytical,1.0,0.004696932279330213,65238.16,HS or Lower,0.9896822745611644,0.5978390684485153,16943.0,9.0,9.0,6.0
998,pos,,,,ucb,1.0,USA,5,0,,1,Filed_For_Bankruptcy,0.9942137292546249,Analytical,0.8550129837819441,0.4410152535215926,67495.76,Doctorate,0.7772845307108582,0.4410152535215926,6178.0,8.0,9.0,5.0
998,pos,,,,smc,1.0,USA,5,0,,1,Filed_For_Bankruptcy,0.9942137292546249,Analytical,0.8550129837819441,0.4410152535215926,67495.76,Doctorate,0.7772845307108582,0.4410152535215926,6178.0,8.0,9.0,5.0
996,pos,navy,,Unemployed,smc,11.0,USA,3,1,,7,,0.8892887837282615,Emotional,0.7805572359977059,0.30105915533567895,83784.09,HS or Lower,0.6127623570628202,0.7805572359977059,17924.0,9.0,10.0,10.0
994,pos,,,,uci,9.0,USA,3,1,Male,1,,0.8608423180705351,Emotional,0.8291908677397436,0.4677547178334862,104457.91,Doctorate,0.585587124021913,0.8291908677397436,19106.0,9.0,9.0,4.0
993,pos,fire_department,,Unemployed,ucb,6.0,USA,1,0,,4,,0.8094106494604092,Emotional,0.767734651228363,0.044466867412666033,99421.84,Bachelor's,0.47340821128409516,0.767734651228363,17135.0,7.0,8.0,7.0
992,pos,marines,Disabled,,ucsd,1.0,USA,3,0,Male,7,,0.9412709396538048,Emotional,0.806621148412687,0.5528420424489013,85207.17,HS or Lower,0.6554632675077301,0.806621148412687,18260.0,9.0,10.0,8.0
992,pos,marines,Disabled,,smc,11.0,USA,3,0,Male,7,,0.9412709396538048,Emotional,0.806621148412687,0.5528420424489013,85207.17,HS or Lower,0.6554632675077301,0.806621148412687,18260.0,9.0,10.0,8.0
